#lenk          enk(meV)       PAM  Sxy            Syz            Szx
   4.0754397081   7.3775775023  0.0   0.0000000000   0.2608009976   0.4517205767
   4.0969825003   7.4688922057  0.0   0.0000000000   0.2482326031   0.4299514825
   4.1185252926   7.5726925515  0.0   0.0000000000   0.2349049227   0.4068672652
   4.1400680849   7.6865676712  0.0   0.0000000000   0.2203073871   0.3815835929
   4.1616108772   7.8064757145  0.0   0.0000000000   0.2035975744   0.3526413482
   4.1831536694   7.9258792141  0.0   0.0000000000   0.1833855532   0.3176330992
   4.2046964617   8.0341635264  0.0   0.0000000000   0.1574535407   0.2727175336
   4.2262392540   8.1141764129  0.0   0.0000000000   0.1228384969   0.2127625159
   4.2477820462   8.1404334055  0.0   0.0000000000   0.0779645509   0.1350385585
   4.2693248385   8.0845949301  0.0   0.0000000000   0.0283665630   0.0491323219
   4.2908676308   7.9335933000  0.0   0.0000000000  -0.0126325178  -0.0218801688
   4.3124104231   7.7012376406  0.0   0.0000000000  -0.0369726299  -0.0640384786
   4.3339532153   7.4152267349  0.0   0.0000000000  -0.0472060658  -0.0817633085
   4.3554960076   7.1013644386  0.0   0.0000000000  -0.0489059224  -0.0847075456
   4.3770387999   6.7795338711  0.0   0.0000000000  -0.0460864979  -0.0798241587
   4.3985815921   6.4652918030  0.0   0.0000000000  -0.0409892573  -0.0709954784
   4.4201243844   6.1718193040  0.0   0.0000000000  -0.0347790172  -0.0602390269
   4.4416671767   5.9110525928  0.0   0.0000000000  -0.0280504954  -0.0485848849
   4.4632099690   5.6940398249  0.0   0.0000000000  -0.0211026095  -0.0365507931
   4.4847527612   5.5306909103  0.0   0.0000000000  -0.0140785885  -0.0243848315
   4.5062955535   5.4290870812  0.0   0.0000000000  -0.0070386574  -0.0121913128
   4.5278383458   5.3945902779  0.0   0.0000000000   0.0000000000   0.0000000000
   4.5278383458   8.3744813754  0.0   0.0000000000   0.0000000000   0.0000000000
   4.5419951770   8.3712750406  0.0  -0.1427764942  -0.1004920913  -0.0580191328
   4.5561520082   8.3630483434  0.0  -0.2466300059  -0.1805322217  -0.1042303213
   4.5703088394   8.3525446433  0.0  -0.3066644947  -0.2375896171  -0.1371724225
   4.5844656707   8.3419968463  0.0  -0.3355753778  -0.2782597684  -0.1606533446
   4.5986225019   8.3327475111  0.0  -0.3453447768  -0.3086090203  -0.1781754930
   4.6127793331   8.3255443270  0.0  -0.3436154826  -0.3323506656  -0.1918827382
   4.6269361643   8.3208285905  0.0  -0.3348632567  -0.3515400711  -0.2029617467
   4.6410929956   8.3188987849  0.0  -0.3216997837  -0.3673044104  -0.2120632924
   4.6552498268   8.3199853602  0.0  -0.3056603625  -0.3802735019  -0.2195510010
   4.6694066580   8.3242755848  0.0  -0.2876319536  -0.3908032605  -0.2256303602
   4.6835634892   8.3319108875  0.0  -0.2680843083  -0.3990843081  -0.2304114255
   4.6977203204   8.3429671146  0.0  -0.2471954973  -0.4051875265  -0.2339351205
   4.7118771517   8.3574205879  0.0  -0.2249172677  -0.4090709260  -0.2361772025
   4.7260339829   8.3750973886  0.0  -0.2010025215  -0.4105561997  -0.2370347259
   4.7401908141   8.3955980051  0.0  -0.1750072770  -0.4092727486  -0.2362937253
   4.7543476453   8.4181830361  0.0  -0.1462793098  -0.4045586856  -0.2335720599
   4.7685044766   8.4415977534  0.0  -0.1139599048  -0.3953044146  -0.2282291042
